"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 27 10:09:48 GMT 2024","Wed Nov 27 10:09:50 GMT 2024","2537","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"passed","Wed Nov 27 10:09:50 GMT 2024","Wed Nov 27 10:09:53 GMT 2024","2166","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"passed","Wed Nov 27 10:09:53 GMT 2024","Wed Nov 27 10:09:55 GMT 2024","2113","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
