"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 30 09:49:29 GMT 2025","Thu Jan 30 09:49:31 GMT 2025","2322","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
"passed","Thu Jan 30 09:49:22 GMT 2025","Thu Jan 30 09:49:26 GMT 2025","3218","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"passed","Thu Jan 30 09:49:26 GMT 2025","Thu Jan 30 09:49:28 GMT 2025","2361","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
