"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 27 08:47:32 GMT 2024","Wed Nov 27 08:47:35 GMT 2024","2405","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
"passed","Wed Nov 27 08:47:30 GMT 2024","Wed Nov 27 08:47:32 GMT 2024","2345","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"passed","Wed Nov 27 08:47:27 GMT 2024","Wed Nov 27 08:47:29 GMT 2024","2611","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
