"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 27 09:10:31 GMT 2024","Wed Nov 27 09:10:33 GMT 2024","2246","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"passed","Wed Nov 27 09:10:33 GMT 2024","Wed Nov 27 09:10:35 GMT 2024","2179","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"passed","Wed Nov 27 09:10:36 GMT 2024","Wed Nov 27 09:10:38 GMT 2024","2248","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
