"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 30 09:47:15 GMT 2025","Thu Jan 30 09:47:18 GMT 2025","3481","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"passed","Thu Jan 30 09:47:18 GMT 2025","Thu Jan 30 09:47:21 GMT 2025","2333","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"passed","Thu Jan 30 09:47:21 GMT 2025","Thu Jan 30 09:47:24 GMT 2025","2326","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
